main_category,sub_category,hs_code
Kırtasiye,Ajanda,4820
Kırtasiye,Yapıştırıcı,4820
Kırtasiye,Boya Kalemi,4820
Kırtasiye,Ofis Kağıdı,4820
Kırtasiye,Zarf,4820
Kırtasiye,Etiket,4820
Kırtasiye,Okul Seti,4820
Tarım Ürünleri,Domates,0702
Tarım Ürünleri,Narenciye,0702
Tarım Ürünleri,Elma,0702
Tarım Ürünleri,Fındık,0702
Tarım Ürünleri,Kuru Üzüm,0702
Tarım Ürünleri,Bakliyat,0702
Tarım Ürünleri,Zeytin,0702
Tarım Ürünleri,Biber,0702
Tarım Ürünleri,Patates,0702
Tarım Ürünleri,Soğan,0702
Makine,Paketleme Makinesi,8422
Makine,CNC Parçası,8422
Makine,Tarım Makinesi,8422
Makine,Pompa,8422
Makine,Kompresör,8422
Makine,Jeneratör,8422
Makine,Endüstriyel Fırın,8422
Makine,Konveyör,8422
Makine,Kesim Makinesi,8422
Makine,Dolum Makinesi,8422
Kimyasal Ürünler,Temizlik Kimyasalı,3402
Kimyasal Ürünler,Boya,3402
Kimyasal Ürünler,Yapıştırıcı,3402
Kimyasal Ürünler,Endüstriyel Yağ,3402
Kimyasal Ürünler,Gübre,3402
Kimyasal Ürünler,Plastik Hammadde,3402
Kimyasal Ürünler,Kozmetik Hammaddesi,3402
Kimyasal Ürünler,Su Arıtma Kimyasalı,3402
Kimyasal Ürünler,Reçine,3402
Kimyasal Ürünler,Solvent,3402
İnşaat Malzemeleri,Seramik Karo,6907
İnşaat Malzemeleri,Çimento,6907
İnşaat Malzemeleri,Demir Çelik Profil,6907
İnşaat Malzemeleri,Alüminyum Profil,6907
İnşaat Malzemeleri,PVC Doğrama,6907
İnşaat Malzemeleri,Yalıtım Malzemesi,6907
İnşaat Malzemeleri,Boya Malzemesi,6907
İnşaat Malzemeleri,Vitrifiye,6907
İnşaat Malzemeleri,Cam Ürün,6907
İnşaat Malzemeleri,Kapı Pencere Aksamı,6907
Takı ve Aksesuar,Gümüş Takı,7117
Takı ve Aksesuar,Bijuteri,7117
Takı ve Aksesuar,Saat,7117
Takı ve Aksesuar,Gözlük,7117
Takı ve Aksesuar,Çanta,7117
Takı ve Aksesuar,Kemer,7117
Takı ve Aksesuar,Cüzdan,7117
Takı ve Aksesuar,Saç Aksesuarı,7117
Takı ve Aksesuar,Anahtarlık,7117
Takı ve Aksesuar,Moda Aksesuarı,7117
Ambalaj,Karton Kutu,4819
Ambalaj,Koli,4819
Ambalaj,Etiket,4819
Ambalaj,Streç Film,4819
Ambalaj,Shrink Ambalaj,4819
Ambalaj,Cam Şişe,4819
Ambalaj,Metal Kutu,4819
Ambalaj,Kağıt Poşet,4819
Ambalaj,Plastik Ambalaj,4819
Ambalaj,Palet,4819
E-Ticaret Ürünleri,Telefon Kılıfı,3926
E-Ticaret Ürünleri,Mutfak Organizer,3926
E-Ticaret Ürünleri,LED Ürün,3926
E-Ticaret Ürünleri,Mini Elektronik,3926
E-Ticaret Ürünleri,Araç Aksesuarı,3926
E-Ticaret Ürünleri,Kişisel Bakım Cihazı,3926
E-Ticaret Ürünleri,Spor Aksesuarı,3926
E-Ticaret Ürünleri,Ev Dekor Ürünü,3926
E-Ticaret Ürünleri,Ofis Aksesuarı,3926
E-Ticaret Ürünleri,Hediye Ürün,3926
