country,main_category,sub_category,hs_code,tax_rate_estimate,product_regulation,customs_documents,standards_note,tax_note,incentive_note,customs_note,source_note
Kanada,Elektronik,Güvenlik Kamerası,8525,7.9,"Kanada pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Kanada için tahmini vergi oranı %7.9. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Kanada pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Kanada gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Elektronik,Güvenlik Kamerası,8525,6.4,"İsviçre pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İsviçre için tahmini vergi oranı %6.4. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İsviçre pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"İsviçre gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Elektronik,Güvenlik Kamerası,8525,8.3,"Japonya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Japonya için tahmini vergi oranı %8.3. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Japonya pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Japonya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Elektronik,Güvenlik Kamerası,8525,9.1,"Çin pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Çin için tahmini vergi oranı %9.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Çin pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Çin gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Elektronik,Güvenlik Kamerası,8525,8.0,"Güney Kore pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Güney Kore için tahmini vergi oranı %8.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Güney Kore pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Güney Kore gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Elektronik,Güvenlik Kamerası,8525,4.9,"Singapur pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Singapur için tahmini vergi oranı %4.9. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Singapur pazarı için teşvik değerlendirmesi prototip modelde 9/10 olarak alınmıştır.,"Singapur gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Elektronik,Güvenlik Kamerası,8525,7.6,"Avustralya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Avustralya için tahmini vergi oranı %7.6. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Avustralya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Avustralya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Elektronik,Güvenlik Kamerası,8525,6.2,"Belçika pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Belçika için tahmini vergi oranı %6.2. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Belçika pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Belçika gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Elektronik,Güvenlik Kamerası,8525,6.4,"Avusturya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Avusturya için tahmini vergi oranı %6.4. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Avusturya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Avusturya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Elektronik,Güvenlik Kamerası,8525,6.5,"Çekya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Çekya için tahmini vergi oranı %6.5. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Çekya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Çekya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Elektronik,Güvenlik Kamerası,8525,5.7,"Romanya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Romanya için tahmini vergi oranı %5.7. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Romanya pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Romanya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Elektronik,Güvenlik Kamerası,8525,5.4,"Bulgaristan pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Bulgaristan için tahmini vergi oranı %5.4. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Bulgaristan pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Bulgaristan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Elektronik,Güvenlik Kamerası,8525,5.5,"Yunanistan pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Yunanistan için tahmini vergi oranı %5.5. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Yunanistan pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Yunanistan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Elektronik,Güvenlik Kamerası,8525,6.1,"Macaristan pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Macaristan için tahmini vergi oranı %6.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Macaristan pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Macaristan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Elektronik,Güvenlik Kamerası,8525,7.1,"Portekiz pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Portekiz için tahmini vergi oranı %7.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Portekiz pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Portekiz gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Elektronik,Güvenlik Kamerası,8525,6.6,"İsveç pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İsveç için tahmini vergi oranı %6.6. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İsveç pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"İsveç gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Elektronik,Güvenlik Kamerası,8525,6.8,"Norveç pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Norveç için tahmini vergi oranı %6.8. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Norveç pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Norveç gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Elektronik,Güvenlik Kamerası,8525,6.3,"Danimarka pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Danimarka için tahmini vergi oranı %6.3. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Danimarka pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Danimarka gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Elektronik,Güvenlik Kamerası,8525,6.7,"Finlandiya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Finlandiya için tahmini vergi oranı %6.7. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Finlandiya pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Finlandiya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Elektronik,Güvenlik Kamerası,8525,7.3,"İrlanda pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İrlanda için tahmini vergi oranı %7.3. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İrlanda pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"İrlanda gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
