country,main_category,sub_category,hs_code,estimated_import_value_usd,tax_rate_estimate,source_note
Almanya,Elektronik,Güvenlik Kamerası,8525,665000000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Elektronik,Akıllı Saat,8525,457380000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Elektronik,Akıllı Saat,8525,483840000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Elektronik,Akıllı Saat,8525,510300000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Elektronik,Akıllı Saat,8525,536760000,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Elektronik,Akıllı Saat,8525,563220000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Elektronik,Akıllı Saat,8525,589680000,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Elektronik,Akıllı Saat,8525,616140000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Elektronik,Akıllı Saat,8525,642600000,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Elektronik,Akıllı Saat,8525,669060000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Elektronik,Akıllı Saat,8525,695520000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Elektronik,Akıllı Saat,8525,718200000,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Elektronik,Akıllı Saat,8525,404460000,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Elektronik,Akıllı Saat,8525,430920000,5.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Elektronik,Akıllı Saat,8525,457380000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Elektronik,Akıllı Saat,8525,483840000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Elektronik,Akıllı Saat,8525,510300000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Elektronik,Akıllı Saat,8525,536760000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Elektronik,Akıllı Saat,8525,563220000,5.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Elektronik,Akıllı Saat,8525,589680000,5.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Elektronik,Akıllı Saat,8525,616140000,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Elektronik,Akıllı Saat,8525,642600000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Elektronik,Akıllı Saat,8525,669060000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Elektronik,Akıllı Saat,8525,695520000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Elektronik,Akıllı Saat,8525,378000000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Elektronik,Akıllı Saat,8525,404460000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Elektronik,Akıllı Saat,8525,430920000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Elektronik,Akıllı Saat,8525,457380000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Elektronik,Akıllı Saat,8525,483840000,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Elektronik,Akıllı Saat,8525,510300000,10.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Elektronik,Akıllı Saat,8525,536760000,9.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Elektronik,Akıllı Saat,8525,563220000,10.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Elektronik,Akıllı Saat,8525,589680000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Elektronik,Akıllı Saat,8525,616140000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Elektronik,Akıllı Saat,8525,642600000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Elektronik,Akıllı Saat,8525,669060000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Elektronik,Akıllı Saat,8525,695520000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Elektronik,Akıllı Saat,8525,378000000,9.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Elektronik,Akıllı Saat,8525,404460000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Elektronik,Akıllı Saat,8525,430920000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Elektronik,Akıllı Saat,8525,457380000,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Elektronik,Akıllı Saat,8525,483840000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Elektronik,Akıllı Saat,8525,510300000,10.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Elektronik,Akıllı Saat,8525,536760000,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Elektronik,Akıllı Saat,8525,563220000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Elektronik,Akıllı Saat,8525,589680000,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Elektronik,Akıllı Saat,8525,616140000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Elektronik,Akıllı Saat,8525,642600000,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Elektronik,Bluetooth Kulaklık,8525,771400000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Elektronik,Bluetooth Kulaklık,8525,825398000,9.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Elektronik,Bluetooth Kulaklık,8525,462840000,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Elektronik,Bluetooth Kulaklık,8525,491260000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Elektronik,Bluetooth Kulaklık,8525,519680000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Elektronik,Bluetooth Kulaklık,8525,548100000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Elektronik,Bluetooth Kulaklık,8525,576520000,7.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Elektronik,Bluetooth Kulaklık,8525,604940000,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Elektronik,Bluetooth Kulaklık,8525,633360000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Elektronik,Bluetooth Kulaklık,8525,661780000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Elektronik,Bluetooth Kulaklık,8525,690200000,8.4,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Elektronik,Bluetooth Kulaklık,8525,718620000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Elektronik,Bluetooth Kulaklık,8525,747040000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Elektronik,Bluetooth Kulaklık,8525,771400000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Elektronik,Bluetooth Kulaklık,8525,434420000,8.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Elektronik,Bluetooth Kulaklık,8525,462840000,5.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Elektronik,Bluetooth Kulaklık,8525,491260000,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Elektronik,Bluetooth Kulaklık,8525,519680000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Elektronik,Bluetooth Kulaklık,8525,548100000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Elektronik,Bluetooth Kulaklık,8525,576520000,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Elektronik,Bluetooth Kulaklık,8525,604940000,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Elektronik,Bluetooth Kulaklık,8525,633360000,5.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Elektronik,Bluetooth Kulaklık,8525,661780000,6.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Elektronik,Bluetooth Kulaklık,8525,690200000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Elektronik,Bluetooth Kulaklık,8525,718620000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Elektronik,Bluetooth Kulaklık,8525,747040000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Elektronik,Bluetooth Kulaklık,8525,406000000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Elektronik,Bluetooth Kulaklık,8525,434420000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Elektronik,Bluetooth Kulaklık,8525,462840000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Elektronik,Bluetooth Kulaklık,8525,491260000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Elektronik,Bluetooth Kulaklık,8525,519680000,10.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Elektronik,Bluetooth Kulaklık,8525,548100000,10.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Elektronik,Bluetooth Kulaklık,8525,576520000,9.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Elektronik,Bluetooth Kulaklık,8525,604940000,10.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Elektronik,Bluetooth Kulaklık,8525,633360000,9.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Elektronik,Bluetooth Kulaklık,8525,661780000,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Elektronik,Bluetooth Kulaklık,8525,690200000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Elektronik,Bluetooth Kulaklık,8525,718620000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Elektronik,Bluetooth Kulaklık,8525,747040000,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Elektronik,Bluetooth Kulaklık,8525,406000000,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Elektronik,Bluetooth Kulaklık,8525,434420000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Elektronik,Bluetooth Kulaklık,8525,462840000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Elektronik,Bluetooth Kulaklık,8525,491260000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Elektronik,Bluetooth Kulaklık,8525,519680000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Elektronik,Bluetooth Kulaklık,8525,548100000,10.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Elektronik,Bluetooth Kulaklık,8525,576520000,10.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Elektronik,Bluetooth Kulaklık,8525,604940000,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Elektronik,Bluetooth Kulaklık,8525,633360000,8.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Elektronik,Bluetooth Kulaklık,8525,661780000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Elektronik,Bluetooth Kulaklık,8525,690200000,10.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Elektronik,Telefon Aksesuarı,8525,824600000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Elektronik,Telefon Aksesuarı,8525,882322000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Elektronik,Telefon Aksesuarı,8525,494760000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Elektronik,Telefon Aksesuarı,8525,525140000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Elektronik,Telefon Aksesuarı,8525,555520000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Elektronik,Telefon Aksesuarı,8525,585900000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Elektronik,Telefon Aksesuarı,8525,616280000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Elektronik,Telefon Aksesuarı,8525,646660000,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Elektronik,Telefon Aksesuarı,8525,677040000,5.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Elektronik,Telefon Aksesuarı,8525,707420000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Elektronik,Telefon Aksesuarı,8525,737800000,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Elektronik,Telefon Aksesuarı,8525,768180000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Elektronik,Telefon Aksesuarı,8525,798560000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Elektronik,Telefon Aksesuarı,8525,824600000,9.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Elektronik,Telefon Aksesuarı,8525,464380000,8.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Elektronik,Telefon Aksesuarı,8525,494760000,4.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Elektronik,Telefon Aksesuarı,8525,525140000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Elektronik,Telefon Aksesuarı,8525,555520000,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Elektronik,Telefon Aksesuarı,8525,585900000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Elektronik,Telefon Aksesuarı,8525,616280000,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Elektronik,Telefon Aksesuarı,8525,646660000,5.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Elektronik,Telefon Aksesuarı,8525,677040000,5.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Elektronik,Telefon Aksesuarı,8525,707420000,5.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Elektronik,Telefon Aksesuarı,8525,737800000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Elektronik,Telefon Aksesuarı,8525,768180000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Elektronik,Telefon Aksesuarı,8525,798560000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Elektronik,Telefon Aksesuarı,8525,434000000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Elektronik,Telefon Aksesuarı,8525,464380000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Elektronik,Telefon Aksesuarı,8525,494760000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Elektronik,Telefon Aksesuarı,8525,525140000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Elektronik,Telefon Aksesuarı,8525,555520000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Elektronik,Telefon Aksesuarı,8525,585900000,10.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Elektronik,Telefon Aksesuarı,8525,616280000,8.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Elektronik,Telefon Aksesuarı,8525,646660000,10.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Elektronik,Telefon Aksesuarı,8525,677040000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Elektronik,Telefon Aksesuarı,8525,707420000,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Elektronik,Telefon Aksesuarı,8525,737800000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Elektronik,Telefon Aksesuarı,8525,768180000,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Elektronik,Telefon Aksesuarı,8525,798560000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Elektronik,Telefon Aksesuarı,8525,434000000,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Elektronik,Telefon Aksesuarı,8525,464380000,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Elektronik,Telefon Aksesuarı,8525,494760000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Elektronik,Telefon Aksesuarı,8525,525140000,5.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Elektronik,Telefon Aksesuarı,8525,555520000,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Elektronik,Telefon Aksesuarı,8525,585900000,9.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Elektronik,Telefon Aksesuarı,8525,616280000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Elektronik,Telefon Aksesuarı,8525,646660000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Elektronik,Telefon Aksesuarı,8525,677040000,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Elektronik,Telefon Aksesuarı,8525,707420000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Elektronik,Telefon Aksesuarı,8525,737800000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Elektronik,Bilgisayar Parçası,8525,877800000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Elektronik,Bilgisayar Parçası,8525,939246000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Elektronik,Bilgisayar Parçası,8525,526680000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Elektronik,Bilgisayar Parçası,8525,559020000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Elektronik,Bilgisayar Parçası,8525,591360000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Elektronik,Bilgisayar Parçası,8525,623700000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Elektronik,Bilgisayar Parçası,8525,656040000,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Elektronik,Bilgisayar Parçası,8525,688380000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Elektronik,Bilgisayar Parçası,8525,720720000,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Elektronik,Bilgisayar Parçası,8525,753060000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Elektronik,Bilgisayar Parçası,8525,785400000,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Elektronik,Bilgisayar Parçası,8525,817740000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Elektronik,Bilgisayar Parçası,8525,850080000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Elektronik,Bilgisayar Parçası,8525,877800000,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Elektronik,Bilgisayar Parçası,8525,494340000,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Elektronik,Bilgisayar Parçası,8525,526680000,5.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Elektronik,Bilgisayar Parçası,8525,559020000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Elektronik,Bilgisayar Parçası,8525,591360000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Elektronik,Bilgisayar Parçası,8525,623700000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Elektronik,Bilgisayar Parçası,8525,656040000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Elektronik,Bilgisayar Parçası,8525,688380000,5.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Elektronik,Bilgisayar Parçası,8525,720720000,5.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Elektronik,Bilgisayar Parçası,8525,753060000,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Elektronik,Bilgisayar Parçası,8525,785400000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Elektronik,Bilgisayar Parçası,8525,817740000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Elektronik,Bilgisayar Parçası,8525,850080000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Elektronik,Bilgisayar Parçası,8525,462000000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Elektronik,Bilgisayar Parçası,8525,494340000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Elektronik,Bilgisayar Parçası,8525,526680000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Elektronik,Bilgisayar Parçası,8525,559020000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
